fid,tipo,cd_geocodd,nm_municip,cd_geocodb,area_ha,area_km2,densid_pop,nm_subdist,nm_meso,nm_micro,cd_geocodi,cd_geocods,id,SHAPE__Length,nm_bairro,SHAPE__Area,nm_distrit,cd_geocodm
107,URBANO,292740805,SALVADOR, ,29.95661148,29.95665606,18.72705682,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060107,29274080506,51415,2331.75027721403, ,299566.13206961,SALVADOR,2927408
108,URBANO,292740805,SALVADOR, ,13.81783011,13.81785066,93.71935126,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060108,29274080506,51416,1484.24627360665, ,138178.29954839,SALVADOR,2927408
109,URBANO,292740805,SALVADOR, ,17.24892178,17.24894744,50.26393657,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060109,29274080506,51417,2264.05598785515, ,172489.23761551,SALVADOR,2927408
110,URBANO,292740805,SALVADOR, ,4.49088443,4.4908911,79.04889965,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060110,29274080506,51418,940.006490362101, ,44908.84834078,SALVADOR,2927408
111,URBANO,292740805,SALVADOR, ,5.32920304,5.32921097,75.80859571,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060111,29274080506,51419,1045.39215831222, ,53292.03558807,SALVADOR,2927408
112,URBANO,292740805,SALVADOR, ,28.37065562,28.37069776,35.24763503,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060112,29274080506,51420,3897.04444016222, ,283706.55161664,SALVADOR,2927408
113,URBANO,292740805,SALVADOR, ,15.91393936,15.913963,16.96623274,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060113,29274080506,51421,1827.14129171535, ,159139.39201934,SALVADOR,2927408
114,URBANO,292740805,SALVADOR, ,17.16450717,17.1645327,71.89243201,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060114,29274080506,51422,3766.01934996674, ,171645.056041945,SALVADOR,2927408
115,URBANO,292740805,SALVADOR, ,0.78618892,0.78619009,805.14879491,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060115,29274080506,51423,335.823332125456, ,7861.886826585,SALVADOR,2927408
116,URBANO,292740805,SALVADOR, ,0.64459576,0.64459672,738.44620297,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060116,29274080506,51424,332.420706860902, ,6445.957530085,SALVADOR,2927408
117,URBANO,292740805,SALVADOR, ,0.84451759,0.84451884,647.70609518,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060117,29274080506,51425,346.330249613576, ,8445.17244822,SALVADOR,2927408
118,URBANO,292740805,SALVADOR, ,2.77005472,2.77005885,227.07098843,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060118,29274080506,51426,729.279840432829, ,27700.53972059,SALVADOR,2927408
119,URBANO,292740805,SALVADOR, ,2.0256726,2.02567561,284.34957516,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060119,29274080506,51427,672.813705613837, ,20256.721193485,SALVADOR,2927408
120,URBANO,292740805,SALVADOR, ,4.00335589,4.00336185,214.5696624,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060120,29274080506,51428,827.227805622005, ,40033.557360605,SALVADOR,2927408
